step,time,raw_score,std_score,human_normalized_score
1000000,8057.694447517395,410.0,30.0,1.8516149904823527
2000000,16826.540288686752,390.0,51.478150704935004,1.701138355741812
3000000,25732.393169164658,355.0,33.166247903554,1.4378042449458661
4000000,34650.608055114746,1170.0,1340.2798215298178,7.569727110622898
5000000,43688.08549499512,555.0,55.67764362830022,2.942570592351273
6000000,52658.42467522621,2815.0,1645.5698101265714,19.946430318032366
7000000,61637.69757437706,2940.0,1759.8721544475893,20.886909285160744
8000000,70722.95535373688,3495.0,1348.369385591352,25.06263589921075
9000000,79837.64992403984,4380.0,126.8857754044952,31.721226986479678
10000000,88912.54465389252,4485.0,320.3903868720159,32.511229318867514
